WELLID	LNNO3	Type
1	2.659259037	Train
2	2.264920608	Train
7	3.597680686	Train
11	4.125972582	Train
13	-3.687646255	Train
14	-3.194101484	Train
15	2.615665139	Train
16	1.347072648	Train
21	-0.288682573	Train
22	3.574430262	Train
25	3.163207923	Train
26	2.789550922	Train
27	2.507785423	Train
28	1.899613374	Train
29	1.171481637	Train
30	1.728883565	Train
32	-3.003228198	Train
33	3.994444113	Train
34	2.601689185	Train
35	2.225782879	Train
38	2.311534924	Train
39	2.652241464	Train
40	0.716839293	Train
42	1.780708633	Train
43	3.125321342	Train
44	0.222143051	Train
45	0.276631236	Train
46	1.049821124	Train
47	0.927218803	Train
48	-0.416515944	Train
49	1.939178974	Train
50	0.047789664	Train
53	-3.266612924	Train
56	1.944909649	Train
57	0.755121479	Train
60	1.696448289	Train
61	2.147267232	Train
62	1.986873848	Train
63	-1.140434784	Train
64	2.927523024	Train
65	1.980000969	Train
66	2.278315966	Train
68	1.509721439	Train
69	-3.229230576	Train
71	2.609069292	Train
72	2.638056829	Train
73	2.733367009	Train
74	2.680705725	Train
75	1.155880697	Train
76	1.586191803	Train
77	2.638056829	Train
78	2.645174297	Train
79	2.855469706	Train
81	3.182040872	Train
84	-1.387294861	Train
85	3.30881232	Train
86	-3.212685773	Train
87	-3.22808341	Train
88	-3.058095945	Train
89	-3.677143748	Train
93	-1.050822625	Train
94	1.349666683	Train
95	-2.660260537	Train
97	-3.441642041	Train
98	-3.150303902	Train
99	-4.416170561	Train
100	-0.187330079	Train
101	-3.270313103	Train
104	3.049219959	Train
105	2.622943191	Train
108	2.4166974	Train
110	2.593507659	Train
111	2.916229545	Train
112	2.274213396	Train
113	1.511926512	Train
114	2.379471131	Train
115	2.360796452	Train
117	2.169195405	Train
120	1.954859979	Train
121	2.124847414	Train
123	2.968901013	Train
124	2.68616649	Train
126	3.197264371	Train
127	0.914764968	Train
128	2.819782971	Train
129	-0.69921958	Train
130	-2.085515954	Train
131	1.115012074	Train
132	1.999721699	Train
134	-2.651089429	Train
135	0.553542526	Train
136	1.508054588	Train
137	-1.640246903	Train
139	-2.207274913	Train
141	1.22037259	Train
143	1.770418955	Train
144	1.249901736	Train
146	-0.101382881	Train
148	0.652325186	Train
155	0.304081858	Train
157	-0.382420682	Train
158	-0.341863745	Train
161	-1.05972377	Train
170	1.077271689	Train
184	1.946309641	Train
186	-0.794531169	Train
187	1.020294287	Train
199	0.121760006	Train
204	1.250947357	Train
207	1.405468114	Train
208	-0.794531169	Train
210	1.771572068	Train
221	-0.794531169	Train
231	1.22037259	Train
240	0.938009561	Train
241	-1.045350343	Train
242	-2.711871148	Train
245	-2.776023966	Train
248	-0.263902397	Train
249	1.345535646	Train
250	1.402694146	Train
251	2.827313622	Train
252	0.997229038	Train
253	-2.878261194	Train
254	1.896712627	Train
255	1.926765046	Train
256	-4.200298574	Train
257	2.517696473	Train
259	1.151379613	Train
260	1.200169882	Train
261	-1.458119096	Train
262	2.941947984	Train
263	2.362469959	Train
264	1.416487428	Train
265	-1.553386858	Train
266	1.580375358	Train
267	2.20120188	Train
